00:00:01:02,00:00:02:02,एम एक्स ओरिजिनल का लोगो।
00:00:06:05,00:00:06:19,डिस्क्लेमर।
00:00:08:04,00:00:11:06,एपिसोड की शुरुआत में सीएम निवास की छत पर सरस्वती खड़ी है।
00:00:13:13,00:00:15:24,कुछ रिपोर्टर सीएम निवास के बाहर न्यूज़ रिपोर्टिंग कर रहे हैं।
00:00:22:03,00:00:24:04,सरस्वती अपने केबिन में हिमांशु के साथ है।
00:01:04:09,00:01:05:21,सरस्वती चिंता में सर हिलाती है।
00:01:05:24,00:01:07:12,सीन एक इनफॉर्मेशन बोर्ड पर शिफ्ट होता है। उसमें ताहिर की तस्वीर लगी है।
00:01:09:07,00:01:10:01,"हिमांशु, केशव और उनके साथी पुलिस स्टेशन में हैं।"
00:01:34:18,00:01:36:06,केशव और सभी पुलिस वाले वहाँ से चले जाते हैं।
00:01:37:01,00:01:39:07,इनफॉर्मेशन बोर्ड से ताहिर की फोटो निकालकर हिमांशु देखने लगता है।
00:01:42:13,00:01:44:14,बैकग्राउंड में सिरीज़ का टाइटल म्युज़िक थीम प्ले होता है।
00:02:11:21,00:02:16:07,ब्लैक स्क्रीन पर रेड फॉन्ट में सिरीज़ का टाइटल रक्तांचल 3 उभरता है।
00:02:16:16,00:02:18:23,सीन वसीम की हवेली पे शिफ्ट होता है। एक वकील वसीम से बात कर रहा है।
00:02:25:13,00:02:27:10,वसीम हाथ हिला के वकील को जाने का इशारा करता है।
00:02:28:11,00:02:29:21,वकील उठकर खड़ा हो जाता है।
00:02:31:15,00:02:34:04,वकील अपने दो असिस्टेंट के साथ वहाँ से चला जाता है। फाज़िला वहाँ आती है।
00:02:40:12,00:02:42:03,फाज़िला वसीम के पास एक सोफे पर बैठती है।
00:03:06:04,00:03:07:06,वसीम सोफे से उठ खड़ा होता है।
00:03:09:03,00:03:10:20,वसीम वहाँ से ग़ुस्से में चला जाता है। फ़ाज़िला आँखें बंद करके अपने आँसू रोकती है।
00:03:11:23,00:03:13:09,सीन एक बिलडिंग के बाहर शिफ्ट होता है। हिमांशु वहाँ चलकर आ रहा है।
00:03:13:15,00:03:14:07,हिमांशु वहाँ केशव से मिलता है।
00:03:17:16,00:03:19:09,हिमांशु और केशव मिलकर बाउंड्री पर खड़े प्रभुनाथ से मिलते हैं।
00:03:47:12,00:03:50:05,केशव और हिमांशु सोच में पड़ जाते हैं।
00:03:55:08,00:03:57:23,सीन वसीम की हवेली के बाहर शिफ्ट होता है। ताहिर का आदमी वसीम के साथ आ रहा है।
00:04:02:15,00:04:04:05,ताहिर का आदमी वहाँ से चला जाता है। तभी एक और आदमी वहाँ पर आता है।
00:04:16:15,00:04:18:10,"वो आदमी वसीम को अपने फ़ोन पे एक रिकॉर्डिंग सुनाता है, जिसे सुनकर वसीम हैरान रह जाता है।"
00:04:30:09,00:04:32:12,वसीम अपना फ़ोन निकालकर नंबर डायल करता है।
00:04:34:18,00:04:36:09,वसीम ने अब्बास को फ़ोन किया है। अब्बास फ़ोन पर जवाब देता है।
00:04:41:11,00:04:42:07,वसीम फ़ोन कट कर देता है।
00:04:42:11,00:04:44:07,रात को अब्बास वसीम की हवेली में आता है।
00:04:55:09,00:04:57:20,अब्बास चलकर वसीम तक पहुँचता है। वसीम अब्बास के कंधे पर हाथ रखता है।
00:05:03:08,00:05:04:20,वसीम एक फ़ोन अब्बास को देता है। अब्बास फ़ोन पर रिकॉर्डिंग प्ले करता है।
00:05:30:00,00:05:32:02,खून से लथपथ ज़ख़्मी मुदस्सर एक कमरे में कुर्सी से बंधा पड़ा है।
00:05:33:00,00:05:35:00,वसीम और अब्बास वहाँ आते हैं।
00:05:41:12,00:05:42:14,मुदस्सर थूकता है।
00:05:53:12,00:05:55:17,मुदस्सर अब्बास को घूरता रहता है। अब्बास तुरंत उसके सर पे गोली मार के जान ले लेता है।
00:06:03:21,00:06:05:17,वसीम कुछ सोचने लगता है।
00:06:06:23,00:06:09:06,वसीम और उसके कुछ गुंडे वहाँ से जाने लगते हैं। चिंतित अब्बास इधर-उधर देखने लगता है।
00:06:10:05,00:06:11:15,सबके जाने के बाद अब्बास आँखें बंद करके राहत की साँस लेता है।
00:06:11:17,00:06:14:12,सीन एक बिलडिंग के बाहर शिफ्ट होता है। सनकी वहाँ अब्बास से मिलता है।
00:06:41:05,00:06:43:07,वहाँ पर एक कार आती है।
00:06:51:02,00:06:53:01,कार से गगन बाहर आता है।
00:07:40:18,00:07:42:23,सीन सरस्वती के केबिन पर शिफ्ट होता है। वो वसीम खान से फ़ोन पर बात कर रही है।
00:07:54:04,00:07:55:14,वसीम फ़ोन कट कर देता है।
00:07:57:21,00:07:59:07,वसीम किसी को फ़ोन करता है।
00:08:01:04,00:08:03:17,अब्बास छुप-छुप के वसीम की बात सुन लेता है। वसीम फ़ोन कट करके वहाँ से चला जाता है।
00:08:05:04,00:08:07:18,सीन राव्या की हवेली के लॉन पर शिफ्ट होता है। राव्या फ़ोन पर गगन से बात कर रही है।
00:08:21:21,00:08:23:10,राव्या अपना फ़ोन अपने सीने पर रख देती है।
00:08:46:12,00:08:47:18,गगन देखता है कि उसके फ़ोन पे किसी का कॉल आ रहा है।
00:08:57:03,00:08:58:24,राव्या देखती है फ़ोन कट चुका है। वो गगन के बारे में सोचकर मुस्कुराने लगती है।
00:09:00:08,00:09:02:16,दिखाया जाता है कि गगन को विजय ने फ़ोन किया है। विजय के साथ सनकी भी है।
00:09:16:02,00:09:18:00,विजय फ़ोन कट करके सनकी की तरफ़ देखता है।
00:09:34:15,00:09:36:13,सीन एक कार में शिफ्ट होती है। वसीम और अब्बास कार में बैठे हुए कहीं जा रहे हैं।
00:09:43:11,00:09:45:00,अब्बास सांत्वना देते हुए अपना हाथ वसीम के हाथ पर रखता है। वसीम उसका हाथ झटक देता है।
00:10:11:06,00:10:14:04,सीन पुलिस स्टेशन में शिफ्ट होता है। केशव वहाँ हिमांशु से मिलने आते हैं।
00:10:17:13,00:10:19:08,हिमांशु कुछ सोचने लगता है।
00:10:30:04,00:10:32:11,सीन एक होटल के बाहर शिफ्ट होती है। कुछ गाड़ियाँ वहाँ आती हैं।
00:10:36:22,00:10:40:07,होटल के एंट्रेंस पर एक-एक करके कुछ एमएलए कार से उतरकर होटल के अंदर जाते हैं।
00:10:45:24,00:10:48:01,होटल के पीछे वसीम के कुछ गुंडे आग ताप रहे हैं। एक गुंडे को किसी का फ़ोन आता है।
00:10:51:06,00:10:51:24,एक गुंडा वसीम के फ़ोन का जवाब देता है।
00:11:04:19,00:11:06:23,विजय किसी जगह बैठकर किसी को फ़ोन लगाता है।
00:11:08:16,00:11:10:15,सीन हिमांशु की कार में शिफ्ट होती है। साथ में केशव भी बैठा है।
00:11:12:06,00:11:14:10,"सीन होटल के पीछे शिफ्ट होती है, जहाँ वसीम का एक गुंडा पेशाब कर रहा है।"
00:11:14:17,00:11:16:17,वहाँ एक कार आती है।
00:11:17:17,00:11:19:21,कार के अंदर से सनकी उन गुंडों पर गोलीबारी कर देता है।
00:11:20:18,00:11:23:02,सनकी हँसते हुए गोली मार रहा है। दो गुंडे मारे जाते हैं। तीसरा एक जीप के पीछे छुप जाता है।
00:11:25:23,00:11:28:17,सनकी अपनी कार से निकल के उस जीप की तरफ़ बढ़ता है।
00:11:30:05,00:11:31:19,सनकी मसाला थूकता है।
00:11:36:19,00:11:38:02,तीसरा गुंडा जीप के पीछे से बाहर निकलता है।
00:11:54:11,00:11:56:12,वो गुंडा पेड़ पर चढ़ता है।
00:12:01:13,00:12:03:09,जीप से एक गुंडे की लाश हटा के सनकी सीट के ऊपर रखी गन को उठा लेता है।
00:12:05:06,00:12:07:08,सनकी जीप के बोनट पर खड़ा हो जाता है।
00:12:08:22,00:12:10:21,सनकी जीप के बोनट पर बैठ जाता है।
00:12:15:02,00:12:16:20,सनकी उस तीसरे गुंडे को गोली मार देता है।
00:12:18:22,00:12:20:23,सीन एक पुल पर शिफ्ट होती है। कुछ गाड़ियाँ वहाँ से गुज़र रही हैं।
00:12:21:10,00:12:23:13,एक बम धमाके में पुल बीच से टूट जाती है। सभी गाड़ियाँ रुक जाती हैं।
00:12:25:24,00:12:28:13,उन गाड़ियों में से वसीम और उसके आदमी बाहर आते हैं और इधर-उधर देखने लगते हैं।
00:12:46:00,00:12:48:05,"सीन होटल के स्विमिंग पूल में शिफ्ट होती है। बहुत से एमएलए वहाँ कुछ लड़कियों के साथ नहा रहे हैं, शराब पी रहे हैं।"
00:12:53:03,00:12:55:03,तभी वहाँ वीरेंद्र आता है।
00:12:58:23,00:12:59:24,वीरेंद्र को देखकर सभी एमएलए चौंक जाते हैं।
00:13:27:10,00:13:29:13,सीन नेपाल में कहीं एक होटल के बाहर शिफ्ट होती है।
00:13:30:04,00:13:32:18,वहाँ एक कार आके रुकती है। कार से हिमांशु और केशव बाहर आते हैं।
00:13:36:00,00:13:37:20,होटल के एक कमरे में एक हथियार सप्लायर विजय और गगन को कुछ हथियार दिखा रहा है।
00:14:04:13,00:14:07:03,केशव और हिमांशु लिफ्ट से निकलकर एक कमरे की तरफ़ बढ़ते हैं।
00:14:08:07,00:14:10:00,हिमांशु अपनी गन बाहर निकाल लेता है।
00:14:14:21,00:14:15:24,दोनों एक कमरे के दरवाज़े के बाहर खड़े होते हैं।
00:14:19:20,00:14:21:08,"कमरे में कोई दस्तक देता है और विजय, गगन और सप्लायर दरवाज़े की तरफ़ देखते हैं।"
00:14:25:12,00:14:27:06,हिमांशु और केशव कमरे के अंदर घुसकर विजय को ढूँढने लगते हैं।
